Id	latitude	longitude	type	address	name	religion	city`	corresponding	phone
1768156	26.3772583007813	120.478904724121	開閩尊王	連江縣東引鄉中柳村136號	忠義廟	道教	連江縣	劉金弟	08-3677369
1758997	26.3709201812744	120.479499816895	白馬尊王	連江縣東引鄉華村浮動碼頭旁	白馬尊王廟	道教	連江縣	劉增榮	09-19919974
1763964	26.3706798553467	120.47989654541	老鼠礁大王	連江縣東引鄉中柳村東堤右方	安寧廟	道教	連江縣	劉增榮	09-19919974
1762882	26.367748260498	120.486770629883	朱大姐	連江縣東引鄉中柳村50號旁	璇璣廟	道教	連江縣	劉金灼	08-3677313
1771536	26.367130279541	120.486801147461	媽祖娘娘	連江縣東引鄉樂華村1號下方	天后宮	道教	連江縣	劉增榮	09-19919974
1769907	26.3662071228027	120.487289428711	泰山	連江縣東引鄉樂華村58號上方	泰山府	道教	連江縣	劉增喜	08-3676371
1760464	26.3652801513672	120.487197875977	關聖帝君	連江縣東引鄉樂華村東堤右側山坡上方	關帝廟	道教	連江縣	劉增榮	09-19919974
1775519	26.2434692382813	119.996002197266	大坵白馬大王	連江縣北竿鄉橋仔村181號	大坵白馬大王廟	道教	連江縣	陳鵬舉	083-656289
1750396	26.2433967590332	119.99600982666	白馬大王	連江縣北竿鄉橋仔村152號	白馬大王廟	道教	連江縣	陳依興	0933-931882
1757707	26.2351398468018	119.993614196777	靈台公	連江縣北竿鄉橋仔村120號	山西靈台公廟	道教	連江縣	陳尚飛	08-3655505
1758289	26.234956741333	119.995109558105	林女帥	連江縣北竿鄉橋仔村17號	上惠林女帥宮	道教	連江縣	王雲萍	08-3655420
1750503	26.2346687316895	119.993499755859	玄天上帝	連江縣北竿鄉橋仔村101號	玄天上帝	道教	連江縣	陳尚飛	08-3655523
1747909	26.2346076965332	119.993385314941	玄壇公	連江縣北竿鄉橋仔村100號	玄壇公廟	道教	連江縣	陳尚飛	08-3655356
1754817	26.2337093353271	119.993896484375	五福大帝	連江縣北竿鄉橋仔村50-1號	五福大帝廟	道教	連江縣	曹百達	08-3655022
1753945	26.2337093353271	119.993896484375	田元帥	連江縣北竿鄉橋仔村50-1號	探花府田元帥廟	道教	連江縣	黃財弟	08-3655522
1749016	26.2330284118652	119.992462158203	白馬尊王	連江縣北竿鄉橋仔村79號旁	白馬尊王廟	道教	連江縣	曹百達	08-3655022
1749017	26.2242603302002	119.999198913574	北極真武老祖	連江縣北竿鄉塘岐村273-4號	馬祖廣玄宮	道教	連江縣	王樹欽	08-3655348
1755553	26.2240505218506	119.982498168945	媽祖娘娘	連江縣北竿鄉芹壁村53號	天后宮	道教	連江縣	陳天歲	08-3655022
1757132	26.2239437103271	119.999633789063	水部尚書公	連江縣北竿鄉塘岐村261-3號	水部尚書公府	道教	連江縣	王世才	08-3655566
1758552	26.2237129211426	120.00700378418	楊公八使	連江縣北竿鄉后沃村22號	楊公八使廟	道教	連江縣	曹春雲	08-3655581
1760658	26.2236938476563	119.997611999512	蓮城佛祖	連江縣北竿鄉塘岐村66號	蕭王府廟	道教	連江縣	周木興	08-3655413
1750061	26.2234745025635	119.984489440918	五靈公	連江縣北竿鄉芹壁村90號	龍角峰五靈公廟	道教	連江縣	陳世鑽	08-3655597
